year,areakm,municipality,geocode_ibge,state
2007,3220.151799045049,Peixoto de Azevedo,5106422,Mato Grosso
2008,69.1853723502341,Peixoto de Azevedo,5106422,Mato Grosso
2009,24.44665714028082,Peixoto de Azevedo,5106422,Mato Grosso
2010,22.378123198872334,Peixoto de Azevedo,5106422,Mato Grosso
2011,56.783017105423234,Peixoto de Azevedo,5106422,Mato Grosso
2012,38.91416635702333,Peixoto de Azevedo,5106422,Mato Grosso
2013,51.63994326675564,Peixoto de Azevedo,5106422,Mato Grosso
2014,23.467812427864423,Peixoto de Azevedo,5106422,Mato Grosso
2015,37.468808594549955,Peixoto de Azevedo,5106422,Mato Grosso
2016,36.16161604006858,Peixoto de Azevedo,5106422,Mato Grosso
2017,39.70445834768901,Peixoto de Azevedo,5106422,Mato Grosso
2018,23.514082367160803,Peixoto de Azevedo,5106422,Mato Grosso
2019,55.34105649423071,Peixoto de Azevedo,5106422,Mato Grosso
2020,64.77218142536307,Peixoto de Azevedo,5106422,Mato Grosso
2021,88.41071994563838,Peixoto de Azevedo,5106422,Mato Grosso
